"decimalLatitude","decimalLongitude","eventDate","scientific_name","url","image_url"
44.6908275997,12.179598,2024-08-31,"Callinectes sapidus","https://www.inaturalist.org/observations/238931915","https://inaturalist-open-data.s3.amazonaws.com/photos/425455326/medium.jpeg"
44.6908405842,12.1795997489,2024-08-31,"Callinectes sapidus","https://www.inaturalist.org/observations/238931888","https://inaturalist-open-data.s3.amazonaws.com/photos/425455251/medium.jpeg"
44.6907241997,12.1800128,2024-08-31,"Callinectes sapidus","https://www.inaturalist.org/observations/238931725","https://inaturalist-open-data.s3.amazonaws.com/photos/425454954/medium.jpeg"
44.6907351997,12.1799926997,2024-08-31,"Callinectes sapidus","https://www.inaturalist.org/observations/238931248","https://inaturalist-open-data.s3.amazonaws.com/photos/425453902/medium.jpeg"
41.3016205262,13.0276186019,2024-08-30,"Callinectes sapidus","https://www.inaturalist.org/observations/238928314","https://static.inaturalist.org/photos/425448420/medium.jpeg"
44.6905964997,12.1808312997,2024-08-31,"Callinectes sapidus","https://www.inaturalist.org/observations/238928194","https://inaturalist-open-data.s3.amazonaws.com/photos/425448131/medium.jpeg"
44.6905925,12.180823,2024-08-31,"Callinectes sapidus","https://www.inaturalist.org/observations/238928146","https://inaturalist-open-data.s3.amazonaws.com/photos/425448059/medium.jpeg"
44.6915521997,12.1797982997,2024-08-31,"Callinectes sapidus","https://www.inaturalist.org/observations/238927022","https://inaturalist-open-data.s3.amazonaws.com/photos/425445824/medium.jpeg"
44.6930006845,12.1831474733,2024-08-31,"Callinectes sapidus","https://www.inaturalist.org/observations/238922765","https://inaturalist-open-data.s3.amazonaws.com/photos/425437476/medium.jpeg"
43.2833444444,3.4491166667,2024-08-30,"Callinectes sapidus","https://www.inaturalist.org/observations/238821557","https://static.inaturalist.org/photos/425239967/medium.jpeg"
37.7796429174,-0.7575954935,2024-08-07,"Callinectes sapidus","https://www.inaturalist.org/observations/238793414","https://inaturalist-open-data.s3.amazonaws.com/photos/425182859/medium.jpeg"
39.1406082507,23.4182083234,2024-08-30,"Callinectes sapidus","https://www.inaturalist.org/observations/238785556","https://inaturalist-open-data.s3.amazonaws.com/photos/425172172/medium.jpeg"
44.6948602,12.1845394,2024-08-30,"Callinectes sapidus","https://www.inaturalist.org/observations/238753232","https://inaturalist-open-data.s3.amazonaws.com/photos/425109959/medium.jpeg"
44.6942425,12.1851550997,2024-08-30,"Callinectes sapidus","https://www.inaturalist.org/observations/238752254","https://inaturalist-open-data.s3.amazonaws.com/photos/425108371/medium.jpeg"
44.6949234,12.1852984,2024-08-30,"Callinectes sapidus","https://www.inaturalist.org/observations/238751881","https://inaturalist-open-data.s3.amazonaws.com/photos/425107544/medium.jpeg"
45.2249109256,12.3012190685,NA,"Callinectes sapidus","https://www.inaturalist.org/observations/238655464","https://inaturalist-open-data.s3.amazonaws.com/photos/424915361/medium.jpeg"
